platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/194691/,University of Santo Tomas,Economics,M.Sc.,On Campus,1 year,"1,393",The Economics program is offered at the University of Santo Tomas. University of Santo Tomas envision a Graduate School that stands for excellence and innovation and that is globally recognized for its distinct degree programs and quality research outputs. ,801st ,English,42 alternative credits,Manila,Philippines,.,     6.5      ,.,.,.,04/07/2021,09/08/2021,"Economics, Econometrics"
https://www.mastersportal.com/studies/98927/,The University of Maine,Resource Economics and Policy,M.Sc.,On Campus,2 years,"1,236","The Resource Economics and Policy program of The University of Maine emphasizes how economic theory and tools can be applied to environmental, natural resource, energy, agricultural, and economic development problems.",401st ,English,60 alternative credits,Orono,.,     80      ,     6.5      ,.,   Required   ,.,15/01/2021,03/09/2021,"Economics, Public Policy"
https://www.mastersportal.com/studies/73681/,Johns Hopkins University,Biotechnology Enterprise,Postgraduate Certificate,Online,9 months,"3,846","Merging science and business is at the center of biotechnology. Students who want to become part of the development and commercialization of science must first understand the running of a biotechnology organization. To acquire this experience and knowledge, students can earn a Certificate in Biotechnology Enterprise from Johns Hopkins University.",12nd ,English,30 alternative credits,Baltimore,.,     100      ,     7      ,.,.,.,.,27/01/2021,"Economics, Biotechnology"
https://www.mastersportal.com/studies/195591/,University of Namibia,Economics,M.Sc.,On Campus,2 years,474,"The Economics program of University of Namibia is offered by the Economics Department and has been upgraded to a collaborative Masters programme in Economics, under the coordination of the African Economic Research Consortium (AERC), based in Nairobi, Kenya.",.,English,On Campus,Windhoek,Namibia,.,.,.,.,.,08/07/2021,06/01/2022,Economics
https://www.mastersportal.com/studies/245068/,Teachers College at Columbia University,Economics and Education,M.Ed.,On Campus,2 years,"1,454","This Economics and Education program at Teachers College at Columbia University is intended for individuals who already have a graduate degree in a related field, who would like to build upon that foundation with additional training in Economics and Education.",.,English,60 alternative credits,New York City,.,     100      ,     7      ,.,.,.,01/06/2021,02/09/2021,"Economics, Education"
https://www.mastersportal.com/studies/62665/,City University of Hong Kong,Applied Economics,M.Sc.,On Campus,1 year,817,"The Applied Economics programme at City University of Hong Kong provides a rigorous training in economic analysis and empirical methods for those who plan to pursue a career as economic analysts, policy researchers and investment strategists in multinational corporations, investment or commercial banks, trade associations, government bodies and policy research institutes. ",48th ,English,30 alternative credits,Hong Kong,Hong Kong (SAR),     79      ,     6.5      ,.,.,.,30/04/2021,02/09/2021,"Economics, Finance, Accounting"
https://www.mastersportal.com/studies/241070/,University of Pretoria,Economics (Coursework),M.Phil.,On Campus,1 year,"2,016",The MPhil Economics (Coursework) is designed to prepare students to enter into a research-based PhD degree programme in Economics.,401st ,English,180 alternative credits,Pretoria,South Africa,     83      ,     6      ,.,.,.,31/08/2021,03/02/2022,Economics
https://www.mastersportal.com/studies/257400/,Morgan State University,Economics,M.A.,On Campus,Unknown,792,"Consistent with the mission of Morgan State University and the College of Liberal Arts, the Economics program seeks to provide first-class educational opportunity for students from diverse backgrounds. ",1001st ,English,.,Baltimore,.,     70      ,     6      ,.,.,.,01/04/2021,09/09/2021,Economics
https://www.mastersportal.com/studies/150197/,Eastern Mediterranean University,Economics (with Thesis),M.Sc.,On Campus,1 year,"1,063",The objective of the Economics (with Thesis) program at Eastern Mediterranean University is to provide advanced training in the application of economic theory and quantitative methods for the analysis of economic problems and the design of economic policies. ,801st ,English,On Campus,Famagusta,Northern Cyprus,     72      ,     6      ,.,.,.,31/08/2021,23/09/2021,Economics
https://www.mastersportal.com/studies/227738/,Corvinus University of Budapest,Economic Analysis - Labour Studies,M.Sc.,On Campus,2 years,"2,502","Besides providing students with a strong methodological basis, the Economic Analysis - Labour Studies programme of Corvinus University of Budapest focuses on comparative, regional, and sectoral issues.",801st ,English,120 ECTS,Budapest,Hungary,.,     5.5      ,.,.,.,15/03/2021,09/09/2021,Economics
https://www.mastersportal.com/studies/261966/,University of Bern,Economics,M.Sc.,On Campus,1½ years,708,This Economics Master program at the University of Bern expands the knowledge students have attained at the Bachelor level and addresses selected topics in various areas. ,101st ,English,90 ECTS,Bern,Switzerland,.,.,.,.,.,30/04/2021,14/09/2021,Economics
